,Hour,Low_kW,Med_kW,High_kW
0,0,2222.0,2377.0,2531.0
1,1,2238.0,2386.0,2535.0
2,2,2092.0,2230.0,2368.0
3,3,1940.0,2076.0,2212.0
4,4,1844.0,1972.0,2100.0
5,5,1800.0,1927.0,2053.0
6,6,1819.0,1958.0,2097.0
7,7,1908.0,2111.0,2313.0
8,8,2077.0,2380.0,2683.0
9,9,2066.0,2366.0,2665.0
10,10,1752.0,2113.0,2475.0
11,11,1315.0,1802.0,2288.0
12,12,939.0,1500.0,2061.0
13,13,720.0,1247.0,1775.0
14,14,619.0,1197.0,1776.0
15,15,678.0,1208.0,1739.0
16,16,880.0,1357.0,1835.0
17,17,1296.0,1732.0,2168.0
18,18,1932.0,2307.0,2683.0
19,19,2466.0,2776.0,3086.0
20,20,2717.0,2973.0,3229.0
21,21,2813.0,3051.0,3290.0
22,22,2774.0,2979.0,3184.0
23,23,2531.0,2700.0,2868.0
