,VehID,Make,Model,Battery_Capacity_kWh,Charging_Rating_kW,Fuel_Econ_kWh/mi,Init_SOC,AM_Commute_Hr,PM_Commute_Hr,Commute_mi_per_trip,charge_access
0,1,Tesla,Model 3 Long Range,75,11,0.24,0.39,7,16,20,home
1,2,Tesla,Model 3 Long Range,75,11,0.24,0.7,8,17,20,both
2,3,Tesla,Model 3 Long Range,75,11,0.24,0.59,7,17,20,home
3,4,Tesla,Model 3 Long Range,75,11,0.24,0.32,6,18,20,work
4,5,Tesla,Model 3 Long Range,75,11,0.24,0.46,6,17,20,work
5,6,Tesla,Model 3 Long Range,75,11,0.24,0.8,7,16,20,home
6,7,Tesla,Model 3 Long Range,75,11,0.24,0.19,6,17,20,home
7,8,Tesla,Model 3 Long Range,75,11,0.24,0.49,6,17,20,both
8,9,Tesla,Model 3 Long Range,75,11,0.24,0.74,7,16,20,work
9,10,Tesla,Model 3 Long Range,75,11,0.24,0.42,8,18,20,both
